CountryID,Country,Year,Disasters
4,Afghanistan,Occurrence 1990-1999,3.0
4,Afghanistan,Occurrence 2000-2009,3.0
4,Afghanistan,Occurrence 2010-2019,2.0
8,Albania,Occurrence 1990-1999,1.0
8,Albania,Occurrence 2000-2009,1.0
12,Algeria,Occurrence 1990-1999,2.0
12,Algeria,Occurrence 2000-2009,1.0
24,Angola,Occurrence 1990-1999,4.0
24,Angola,Occurrence 2000-2009,2.0
24,Angola,Occurrence 2010-2019,2.0
660,Anguilla,Occurrence 1990-1999,1.0
28,Antigua and Barbuda,Occurrence 1990-1999,1.0
32,Argentina,Occurrence 1990-1999,3.0
32,Argentina,Occurrence 2000-2009,4.0
32,Argentina,Occurrence 2010-2019,1.0
51,Armenia,Occurrence 2000-2009,1.0
36,Australia,Occurrence 1990-1999,27.0
36,Australia,Occurrence 2000-2009,12.0
36,Australia,Occurrence 2010-2019,13.0
31,Azerbaijan,Occurrence 2000-2009,1.0
50,Bangladesh,Occurrence 1990-1999,6.0
50,Bangladesh,Occurrence 2000-2009,1.0
52,Barbados,Occurrence 2010-2019,1.0
56,Belgium,Occurrence 1990-1999,1.0
204,Benin,Occurrence 1990-1999,4.0
204,Benin,Occurrence 2010-2019,1.0
64,Bhutan,Occurrence 1990-1999,1.0
68,Bolivia (Plurinational State of),Occurrence 1990-1999,7.0
68,Bolivia (Plurinational State of),Occurrence 2000-2009,5.0
68,Bolivia (Plurinational State of),Occurrence 2010-2019,6.0
70,Bosnia and Herzegovina,Occurrence 2000-2009,2.0
72,Botswana,Occurrence 1990-1999,5.0
72,Botswana,Occurrence 2010-2019,2.0
76,Brazil,Occurrence 1990-1999,13.0
76,Brazil,Occurrence 2000-2009,5.0
76,Brazil,Occurrence 2010-2019,4.0
96,Brunei Darussalam,Occurrence 1990-1999,1.0
100,Bulgaria,Occurrence 1990-1999,1.0
100,Bulgaria,Occurrence 2000-2009,5.0
854,Burkina Faso,Occurrence 1990-1999,10.0
854,Burkina Faso,Occurrence 2000-2009,1.0
854,Burkina Faso,Occurrence 2010-2019,2.0
108,Burundi,Occurrence 1990-1999,1.0
108,Burundi,Occurrence 2000-2009,4.0
108,Burundi,Occurrence 2010-2019,1.0
132,Cabo Verde,Occurrence 1990-1999,9.0
132,Cabo Verde,Occurrence 2000-2009,1.0
116,Cambodia,Occurrence 1990-1999,2.0
