CountryID,Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
8,Albania,...,...,...,...,...,...,...,...,...,...,42.09999847,42.90000153,...,...
12,Algeria,...,...,...,...,...,...,...,...,...,1563,1806,2387,3107,2499
20,Andorra,35.17346191,38.03936386,13.65162468,11.835042,5.866518974,0.00990137,2.518495798,0,0,0,0,0,...,...
51,Armenia,379,279,411,249,241,243,519,677,841,178,292,362,308.7999878,174.1000061
31,Azerbaijan,...,...,...,...,...,...,...,...,...,736,730,584,554.5999756,516.4000244
48,Bahrain,0,0,0,0,0,0,0,0,23.20000076,23.60000038,2.700000048,4.199999809,4.599999905,0
112,Belarus,...,...,...,...,...,...,...,...,...,...,...,...,...,...
70,Bosnia and Herzegovina,...,...,...,281.3315125,288.2739868,357.071228,355.0630188,333.3013611,331.8520508,326.6191711,300.1780701,304.4356079,...,...
188,Costa Rica,...,...,...,...,357.7228699,338.2623901,306.7867432,318.3864746,317.1419983,301.5273743,311.240448,193.9715576,89.88999939,...
192,Cuba,3643836,2764384,4013699,4131507,5676712,4964384,4353425,4687671,5136986,6432877,6531507,4131507,4230137,5416438
218,Ecuador,...,...,...,...,...,...,...,381762.1563,225006.1719,...,...,...,...,...
222,El Salvador,...,...,...,83042,82711,82391,82193,83040,...,...,...,...,...,...
268,Georgia,...,...,...,...,...,...,...,...,...,...,...,...,...,...
364,Iran (Islamic Republic of),3940,4155,4423,4622,4903,5192,5417,5045,5147,5408,5408,5524,5489,5845
368,Iraq,...,1208.099976,10,1166.5,196.5,821,908.2000122,961.0999756,...,622,512.9000244,544.4000244,1214.300049,1826.400024
398,Kazakhstan,250,319,360,616,599,580,689,586,518,474,417,417,407,326
417,Kyrgyzstan,12.19999981,12.19999981,12.60000038,20,18.5,6.400000095,6.699999809,4,4,...,...,...,...,...
492,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,...,...
504,Morocco,...,...,...,...,...,...,...,905.5599976,912.1920166,787.8850098,689.6550293,688.5859985,...,...
591,Panama,123.4047241,127.730278,137.0468597,145.7242432,151.2512054,156.2147064,162.8575592,163.0768433,168.4351501,174.7380371,181.6616669,187.5671082,193.7638855,199.9816284
604,Peru,...,...,1497.891968,1452.131226,1382.94104,1405.325195,1447.689209,1479.831421,1353.438599,1149.468872,981.4980469,544.7328491,936,...
634,Qatar,...,...,...,...,...,...,55,45,60,21,14,10,14,8
498,Republic of Moldova,115.0999985,24.70000076,19.20000076,27.39999962,38.40000153,27.39999962,30.10000038,21.89999962,24.70000076,24.20000076,27.60000038,23.10000038,75.19999695,21.5
682,Saudi Arabia,...,...,...,...,...,...,3161,2938,2781,2748,2539,2676,2753,2702
686,Senegal,...,...,...,...,...,...,...,...,...,...,...,25349.40039,20125.99023,32341
688,Serbia,792,848,815,1062,1034,1056,1010,919,1034,994,953,1048,...,...
702,Singapore,...,...,...,...,...,...,...,...,...,...,...,...,...,...
788,Tunisia,...,...,18.29999924,15.30000019,15.5,15.69999981,16.39999962,17.20000076,17.39999962,16.10000038,10.80000019,10.80000019,...,...
804,Ukraine,9112.329102,9435.616211,10660.27441,10558.9043,7476.712402,4838.355957,4778.082031,4416.438477,4167.123047,4704.109375,2529.315186,2397.53418,1913.150635,2732.328857
716,Zimbabwe,...,...,...,...,...,...,...,...,228.1660004,193.2969971,194.7140045,174.9750061,226.3659973,229.4320831
